                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2736,                  1.471,                 1.5674,                 0.6323,                0.61732,                0.59844,                0.32102,                  1.539,                  1.731,                 2.0002,              0.0018133,              0.0018133,              0.0018133
                     35,                 1.2252,                 1.4168,                  1.544,                0.72716,                0.66667,                0.70705,                 0.3772,                 1.5505,                 1.7764,                 1.9902,              0.0018077,              0.0018077,              0.0018077
                     36,                  1.228,                   1.46,                 1.5506,                0.56432,                0.53846,                0.54027,                0.27513,                 1.5825,                 1.8978,                 2.0068,               0.001802,               0.001802,               0.001802
                     37,                 1.2251,                 1.4056,                 1.5451,                0.61175,                0.51282,                0.57679,                0.32385,                  1.523,                 1.7898,                 1.9392,              0.0017963,              0.0017963,              0.0017963
                     38,                 1.1931,                 1.4255,                 1.5186,                0.71269,                0.55128,                0.63837,                0.36605,                 1.4822,                 1.7825,                 1.9088,              0.0017907,              0.0017907,              0.0017907
                     39,                 1.2468,                 1.4219,                 1.5554,                0.58023,                0.58483,                0.62732,                0.35417,                 1.4335,                 1.6929,                 1.9553,               0.001785,               0.001785,               0.001785
                     40,                 1.1859,                 1.3489,                  1.504,                0.54288,                0.59383,                0.54397,                0.27367,                 1.5185,                 1.8752,                 1.9807,              0.0017794,              0.0017794,              0.0017794
                     41,                 1.1431,                 1.2966,                 1.4714,                0.69145,                0.62821,                0.62814,                0.31706,                 1.5943,                 1.6302,                 1.9969,              0.0017737,              0.0017737,              0.0017737
                     42,                 1.1647,                 1.3145,                 1.5102,                0.72721,                0.61521,                0.65725,                0.37114,                  1.436,                 1.5762,                 1.8654,              0.0017681,              0.0017681,              0.0017681
                     43,                 1.2181,                 1.4148,                 1.5311,                0.60693,                 0.6137,                0.59663,                0.33434,                 1.5319,                 1.6964,                 1.9326,              0.0017624,              0.0017624,              0.0017624
                     44,                 1.1549,                 1.3233,                 1.5299,                0.61987,                0.50177,                0.57234,                0.29936,                 1.6103,                 2.0133,                 2.0074,              0.0017567,              0.0017567,              0.0017567
                     45,                 1.1322,                 1.3444,                 1.4776,                0.65575,                0.60256,                 0.6284,                0.34881,                 1.4049,                 1.6343,                 1.8236,              0.0017511,              0.0017511,              0.0017511
                     46,                 1.1559,                 1.3555,                 1.4888,                0.80117,                    0.5,                0.64046,                0.37823,                  1.423,                  1.688,                 1.8384,              0.0017454,              0.0017454,              0.0017454
                     47,                 1.1618,                 1.3328,                 1.5055,                0.68441,                0.58974,                0.65459,                0.35431,                 1.5117,                 1.6912,                 1.9164,              0.0017398,              0.0017398,              0.0017398
                     48,                   1.14,                 1.2901,                 1.4964,                0.59144,                 0.6496,                0.62303,                0.36937,                 1.4748,                 1.8691,                 1.8953,              0.0017341,              0.0017341,              0.0017341
                     49,                 1.1385,                 1.3052,                  1.468,                0.53048,                0.55128,                0.55231,                0.31427,                  1.333,                 1.9353,                 1.7435,              0.0017285,              0.0017285,              0.0017285
                     50,                 1.1324,                 1.2754,                 1.4665,                0.67135,                0.65473,                0.70854,                 0.3773,                 1.3437,                 1.5342,                  1.737,              0.0017228,              0.0017228,              0.0017228
                     51,                 1.1724,                 1.3085,                 1.4843,                0.76026,                0.62821,                0.70478,                0.41235,                   1.43,                 1.4912,                 1.8614,              0.0017171,              0.0017171,              0.0017171
                     52,                  1.128,                 1.3261,                 1.4882,                0.58611,                0.60256,                0.63513,                 0.3404,                 1.5133,                 1.6525,                 1.9285,              0.0017115,              0.0017115,              0.0017115
                     53,                 1.0886,                 1.2978,                 1.4595,                0.65393,                0.60256,                0.64993,                0.35293,                 1.4087,                 1.7339,                 1.8081,              0.0017058,              0.0017058,              0.0017058
                     54,                 1.1554,                 1.3858,                 1.4971,                0.74784,                0.58974,                0.64898,                0.36214,                 1.3821,                 1.6886,                 1.7576,              0.0017002,              0.0017002,              0.0017002
                     55,                 1.0893,                 1.2873,                 1.4589,                0.45564,                0.42308,                   0.42,                0.22556,                 1.5051,                 2.2972,                 1.9473,              0.0016945,              0.0016945,              0.0016945
                     56,                 1.1438,                 1.2513,                 1.4486,                0.63977,                0.52564,                0.60269,                0.34292,                 1.4829,                 1.6268,                 1.8323,              0.0016889,              0.0016889,              0.0016889
                     57,                   1.09,                 1.2614,                 1.4617,                0.67369,                0.65385,                0.69087,                0.40921,                 1.3306,                 1.5208,                 1.7739,              0.0016832,              0.0016832,              0.0016832
